fsize,uhhnum,uleader,subsispercent,poor,soccap,market,others,localrules,college,literate,fracinterest,fracecon,ownland,statefor,enforce,india,kenya,mad,nepal,uganda
3000,11,0,0.7272727,0,1,110,1,1,0,0.8,0.3966942,0,0.4545455,0,0,0,0,0,0,0
1500,9,0,0.5555556,0,0,3600,1,1,0,0.5507246,0.7187929,0,1,0,0,0,0,0,0,0
3000,10,0,1,0,1,73.3333,1,1,0,0.6632653,0,0,1,0,0,0,0,0,0,0
3000,15,1,0.6666667,0.2666667,1,59,1,1,0.027027,0.7387387,0.4444444,0.64,1,0,1,0,0,0,0,0
3400,78,0,1,0,2,2160,1,1,0,0.9341086,0,0,1,1,1,0,0,0,0,0
22700,38,0,0,0,1,310,1,1,0,0.7083333,0,0,0,1,1,0,0,0,0,0
22700,67,0,1,1,1,310,1,1,0,0.8674699,0,0,0,1,1,0,0,0,0,0
3300,67,0,1,1,1,310,1,1,0,0.8674699,0,0,0,1,1,0,0,0,0,0
3000,40,1,0,0.25,9,300,0,0,0,0.7645051,0,0.625,1,0,1,0,0,0,0,0
1200,56,0,0,0,2,180,0,0.5,0.0121212,0.9515151,0.2933674,0,0.9285714,0,0,0,0,0,0,0
1000,15,1,0.8666667,0,3,180,0,1,0,0.8367347,0.4088098,0,1,0,0,0,0,0,0,0
46,27,0,0.7407407,0,5,180,0,1,0,0.3529412,0.6206522,0,0.8518519,0,0,0,0,0,0,0
691,25,1,1,0.56,6,300,0,1,0,0.3965517,0,0.5696,1,0,0,0,0,0,0,0
433,22,1,0,0.0454545,3,45,1,0.666667,0.009901,0.8118812,0.1652893,0.1694216,1,0,0,0,0,0,0,0
125,28,0,0.7857143,0.0714286,2,120,1,0.333333,0,0.6917293,0.5313151,0.255102,1,0,1,0,0,0,0,0
545,26,1,0.0384615,0.1153846,1,180,1,0.666667,0.0425532,0.8085107,0.0739646,0.5059172,1,0,1,0,0,0,0,0
306,39,1,0,0.0512821,9,300,1,0.666667,0.0657895,0.1513158,0,0.3076923,1,0,1,0,0,0,0,0
70,228,1,0.9649123,0,5,480,1,1,0.0027778,0.4444444,0.1232013,0,1,0,0,1,0,0,0,0
33,30,1,0.3333333,0,0,75,0,1,0.08,0.6,0.480247,0,1,0,1,1,0,0,0,0
85,95,1,0.5263158,0.2105263,0,45,0,1,0,0.4705882,0.5486146,0.5761773,0.9473684,0,1,1,0,0,0,0
23,110,1,0.5454546,0.6363636,4,30,1,1,0.005,0.625,0.5049505,0.5123967,0.9090909,0,1,1,0,0,0,0
30,95,1,1,0.7368421,4,180,1,1,0.02,0.5,0,0.4157341,1,0,1,1,0,0,0,0
346,105,1,0.952381,0,5,240,1,1,0.0138889,0.6805556,0.1411782,0,1,0,0,1,0,0,0,0
8,70,1,0.5714286,0.8571429,3,20,0,1,0.02,0.5,0.4897959,0.2448979,1,1,1,1,0,0,0,0
